No,UID,X,Y,Z,Angle
806,1000101019,-1.219427,-2.358435,87.345284,-2.14202304
816,1000101019,-1.21778,-2.355359,87.345154,-2.14202304
826,1000101019,-0.635394,-2.358875,87.558044,-1.07101152
836,1000101019,-0.071027,-2.36261,87.633514,0
846,1000101019,-0.06839,-2.357281,87.639435,0
856,1000101019,-0.062732,-2.357446,87.639519,0
866,1000101019,0.518884,-2.361456,87.579842,1.07101152
876,1000101019,0.51048,-2.363818,87.581825,1.07101152
886,1000101019,0.511139,-2.36283,87.583832,1.07101152
896,1000101019,1.086823,-2.362115,87.397667,2.14202304
906,1000101019,1.094183,-2.36261,87.394424,2.14202304
916,1000101019,1.678381,-2.363489,87.097191,3.21303456
927,1000101019,1.683325,-2.363654,87.097771,3.21303456
937,1000101019,1.672064,-2.366345,87.09549,3.21303456
947,1000101019,1.676074,-2.370904,87.09623,3.21303456
957,1000101019,2.260602,-2.368488,86.724182,4.284046081
967,1000101019,2.267084,-2.365851,86.717667,4.284046081
977,1000101019,2.845459,-2.369202,86.29303,5.355057601
987,1000101019,2.854578,-2.363928,86.285721,5.355057601
997,1000101019,2.854193,-2.364148,86.28598,5.355057601
1007,1000101019,2.85293,-2.364423,86.284592,5.355057601
1017,1000101019,2.26637,-2.36272,86.71917,4.284046081
1027,1000101019,2.265601,-2.364478,86.723907,4.284046081
1037,1000101019,2.254175,-2.366894,86.729004,4.284046081
1047,1000101019,1.679041,-2.366345,87.098434,3.21303456
1057,1000101019,1.672339,-2.362939,87.099815,3.21303456
1077,1000101019,1.086932,-2.362555,87.39386,2.14202304
1087,1000101019,1.094293,-2.36217,87.391365,2.14202304
1097,1000101019,0.508282,-2.362061,87.584541,1.07101152
1107,1000101019,0.511688,-2.362115,87.580956,1.07101152
1117,1000101019,0.507074,-2.361237,87.583611,1.07101152
1127,1000101019,-0.072839,-2.360797,87.636345,0
1137,1000101019,-0.07196,-2.360687,87.637383,0
1147,1000101019,-0.643579,-2.361017,87.555008,-1.07101152
1157,1000101019,-0.645337,-2.360523,87.552025,-1.07101152
1167,1000101019,-0.643304,-2.356952,87.556366,-1.07101152
1177,1000101019,-1.22168,-2.356622,87.346413,-2.14202304
1187,1000101019,-1.209265,-2.357501,87.348732,-2.14202304
1197,1000101019,-1.215857,-2.357227,87.346878,-2.14202304
1207,1000101019,-1.789948,-2.356403,87.040436,-3.21303456
1217,1000101019,-2.356073,-2.357227,86.673134,-4.284046081
1227,1000101019,-2.916541,-2.35415,86.251045,-5.355057601
1237,1000101019,-2.908576,-2.348438,86.26004,-5.355057601
727,1000101020,-2.944665,-2.213031,86.313293,-5.355057601
737,1000101020,-2.375299,-2.214844,86.749435,-4.284046081
747,1000101020,-2.376398,-2.215778,86.75045,-4.284046081
757,1000101020,-2.384473,-2.223523,86.742775,-4.284046081
767,1000101020,-1.821753,-2.228467,87.123497,-3.21303456
777,1000101020,-1.814886,-2.223743,87.134789,-3.21303456
787,1000101020,-1.820929,-2.228577,87.122444,-3.21303456
797,1000101020,-1.246893,-2.239069,87.439774,-2.14202304
807,1000101020,-1.248212,-2.238794,87.434433,-2.14202304
817,1000101020,-1.240356,-2.232587,87.44593,-2.14202304
827,1000101020,-0.682361,-2.243079,87.655037,-1.07101152
837,1000101020,-0.103986,-2.252417,87.741638,0
847,1000101020,-0.104865,-2.252637,87.745499,0
857,1000101020,-0.104205,-2.249066,87.747276,0
867,1000101020,0.481366,-2.262854,87.685097,1.07101152
877,1000101020,0.478784,-2.26159,87.683525,1.07101152
887,1000101020,0.475983,-2.260602,87.682999,1.07101152
897,1000101020,1.057544,-2.270325,87.491898,2.14202304
907,1000101020,1.057159,-2.268127,87.497757,2.14202304
917,1000101020,1.645093,-2.27428,87.190559,3.21303456
928,1000101020,1.638501,-2.277136,87.19323,3.21303456
938,1000101020,1.637402,-2.277301,87.192879,3.21303456
948,1000101020,1.633557,-2.277081,87.194,3.21303456
958,1000101020,2.23418,-2.279883,86.806007,4.284046081
968,1000101020,2.232367,-2.280542,86.805687,4.284046081
978,1000101020,2.824036,-2.284552,86.360657,5.355057601
988,1000101020,2.810577,-2.286804,86.365349,5.355057601
998,1000101020,2.821509,-2.288013,86.36171,5.355057601
1008,1000101020,2.825244,-2.2901,86.360657,5.355057601
1018,1000101020,2.23418,-2.281366,86.803886,4.284046081
1028,1000101020,2.22616,-2.283728,86.808556,4.284046081
1038,1000101020,2.230335,-2.284827,86.807068,4.284046081
1048,1000101020,1.634491,-2.279663,87.193054,3.21303456
1058,1000101020,1.6396,-2.277686,87.193893,3.21303456
1078,1000101020,1.051502,-2.26593,87.495888,2.14202304
1088,1000101020,1.058917,-2.270489,87.493965,2.14202304
1098,1000101020,0.475708,-2.261426,87.685684,1.07101152
1108,1000101020,0.483453,-2.254999,87.691605,1.07101152
1118,1000101020,0.474005,-2.258954,87.690002,1.07101152
1128,1000101020,-0.093823,-2.248297,87.74498,0
1138,1000101020,-0.099591,-2.24978,87.751457,0
1148,1000101020,-0.680548,-2.244452,87.654404,-1.07101152
1158,1000101020,-0.678461,-2.246759,87.652367,-1.07101152
1168,1000101020,-0.67934,-2.242364,87.653458,-1.07101152
1178,1000101020,-1.25387,-2.237805,87.439743,-2.14202304
1188,1000101020,-1.240192,-2.232147,87.447502,-2.14202304
1198,1000101020,-1.254364,-2.237915,87.434998,-2.14202304
1208,1000101020,-1.807471,-2.225336,87.134674,-3.21303456
1218,1000101020,-2.382935,-2.22182,86.739212,-4.284046081
1228,1000101020,-2.948456,-2.20946,86.312149,-5.355057601
1238,1000101020,-2.947302,-2.209735,86.317413,-5.355057601
738,1000101021,-2.952631,-1.808075,86.533844,-5.355057601
748,1000101021,-2.392108,-1.814941,87.000885,-4.284046081
758,1000101021,-2.389087,-1.81593,86.996201,-4.284046081
768,1000101021,-2.39101,-1.81626,87.000725,-4.284046081
778,1000101021,-1.823895,-1.817303,87.426422,-3.21303456
788,1000101021,-1.829443,-1.817688,87.422546,-3.21303456
798,1000101021,-1.820325,-1.813898,87.425186,-3.21303456
808,1000101021,-1.254419,-1.818127,87.794304,-2.14202304
818,1000101021,-1.25365,-1.817633,87.793503,-2.14202304
828,1000101021,-1.255188,-1.817578,87.794464,-2.14202304
838,1000101021,-0.684009,-1.818347,88.061218,-1.07101152
848,1000101021,-0.10459,-1.818073,88.17881,0
