No,UID,X,Y,Z
50,1000101023,-88.814575,-1.172241,0.159851
51,1000101024,-88.824562,-0.864294,0.786182
52,1000101025,-88.260544,-0.275548,1.717185
53,1000101026,-88.895958,-0.544537,0.961139
54,1000101018,-0.142822,-2.307129,87.687378
55,1000101019,-0.061853,-2.355798,87.64138
56,1000101020,-0.106787,-2.251758,87.746269
57,1000101021,-0.104843,-1.820347,88.175781
58,1000101022,-89.329834,-0.373535,0.55481
59,1000101023,-88.804688,-1.177185,0.162048
60,1000101024,-88.834251,-0.854626,0.797827
61,1000101025,-88.260712,-0.27557,1.717987
62,1000101026,-88.893906,-0.544428,0.960095
63,1000101018,-0.142822,-2.307129,87.686279
64,1000101019,-0.074597,-2.357666,87.641678
65,1000101020,-0.103711,-2.254999,87.743195
66,1000101021,-0.10615,-1.820336,88.176086
67,1000101022,-89.324341,-0.362549,0.571289
68,1000101023,-88.820068,-1.182678,0.154907
69,1000101024,-88.83403,-0.855286,0.790356
70,1000101025,-88.261368,-0.275427,1.719382
71,1000101026,-88.896545,-0.54223,0.962238
72,1000101018,-0.142822,-2.307129,87.689026
73,1000101019,-0.059436,-2.360742,87.641365
74,1000101020,-0.103162,-2.251483,87.747589
75,1000101021,-0.107578,-1.819995,88.175873
76,1000101022,-89.329834,-0.368042,0.55481
77,1000101023,-88.820618,-1.189819,0.17688
78,1000101024,-88.835129,-0.862976,0.792883
79,1000101025,-88.260559,-0.275251,1.715779
80,1000101026,-88.893837,-0.545581,0.964435
81,1000101018,-0.153809,-2.307129,87.688477
82,1000101019,-0.067896,-2.360523,87.641174
83,1000101020,-0.09657,-2.24632,87.75029
84,1000101021,-0.108633,-1.822478,88.173958
85,1000101022,-89.34082,-0.351562,0.549316
86,1000101023,-88.808533,-1.17334,0.147217
87,1000101024,-88.825348,-0.870227,0.791565
88,1000101025,-88.265083,-0.274713,1.714658
89,1000101026,-88.903069,-0.539648,0.962622
90,1000101018,-0.14502,-2.301636,87.688477
91,1000101019,-0.06427,-2.36228,87.6399
92,1000101020,-0.097888,-2.255878,87.74324
93,1000101021,-0.105754,-1.820544,88.174522
94,1000101022,-89.34082,-0.368042,0.565796
95,1000101023,-88.800842,-1.180481,0.15271
96,1000101024,-88.826866,-0.866821,0.799475
97,1000101025,-88.261436,-0.275999,1.71724
98,1000101026,-88.893944,-0.543384,0.96394
99,1000101018,-0.149414,-2.309875,87.681885
100,1000101019,-0.06438,-2.361841,87.637497
101,1000101020,-0.107281,-2.252362,87.743027
102,1000101021,-0.107007,-1.820698,88.174522
103,1000101022,-89.329834,-0.373535,0.55481
104,1000101023,-88.807983,-1.178284,0.166443
105,1000101024,-88.8349,-0.864404,0.781567
106,1000101025,-88.262016,-0.274054,1.714856
107,1000101026,-88.897041,-0.543109,0.969818
108,1000101018,-0.149414,-2.300537,87.69397
109,1000101019,-0.070972,-2.360742,87.639137
110,1000101020,-0.092615,-2.245276,87.751945
111,1000101021,-0.107117,-1.820676,88.175262
112,1000101022,-89.335327,-0.368042,0.543823
113,1000101023,-88.827759,-1.180481,0.164795
114,1000101024,-88.834023,-0.859131,0.792993
115,1000101025,-88.263962,-0.274021,1.71691
116,1000101026,-88.890602,-0.544428,0.969104
117,1000101018,-0.148315,-2.308228,87.685181
118,1000101019,-0.066797,-2.360742,87.639023
119,1000101020,-0.091846,-2.247638,87.751442
120,1000101021,-0.108007,-1.822489,88.172676
121,1000101022,-89.34082,-0.346069,0.55481
