,UID,VBAT,DID,YEAR,MON,DAY,HOUR,MIN,SEC,X,Y,Z,T,,,,,,,,,,,,,,,,2
105,1000101024,3640,11,19,9,30,13,11,0,-88.8349,-0.864404,0.781567,19.9,,,,,,,,,,,,,,,,
106,1000101025,3605,11,19,9,30,13,11,0,-88.262016,-0.274054,1.714856,18.799999,,,,,,,,,,,,,,,,
107,1000101026,3595,11,19,9,30,13,11,0,-88.897041,-0.543109,0.969818,19.1,,,,,,,,,,,,,,,,
108,1000101018,3579,12,19,9,30,13,12,0,-0.149414,-2.300537,87.69397,18.200001,,,,,,,,,,,,,,,,
109,1000101019,3584,12,19,9,30,13,12,0,-0.070972,-2.360742,87.639137,19,,,,,,,,,,,,,,,,
110,1000101020,3595,12,19,9,30,13,12,0,-0.092615,-2.245276,87.751945,18.5,,,,,,,,,,,,,,,,
111,1000101021,3577,12,19,9,30,13,12,0,-0.107117,-1.820676,88.175262,18.6,,,,,,,,,,,,,,,,
112,1000101022,3585,12,19,9,30,13,12,0,-89.335327,-0.368042,0.543823,18.6,,,,,,,,,,,,,,,,
113,1000101023,3606,12,19,9,30,13,12,0,-88.827759,-1.180481,0.164795,18.700001,,,,,,,,,,,,,,,,
114,1000101024,3640,12,19,9,30,13,12,0,-88.834023,-0.859131,0.792993,19.9,,,,,,,,,,,,,,,,
115,1000101025,3605,12,19,9,30,13,12,0,-88.263962,-0.274021,1.71691,18.799999,,,,,,,,,,,,,,,,
116,1000101026,3595,12,19,9,30,13,12,0,-88.890602,-0.544428,0.969104,19,,,,,,,,,,,,,,,,
117,1000101018,3576,13,19,9,30,13,13,0,-0.148315,-2.308228,87.685181,18.200001,,,,,,,,,,,,,,,,
118,1000101019,3581,13,19,9,30,13,13,0,-0.066797,-2.360742,87.639023,19,,,,,,,,,,,,,,,,
119,1000101020,3594,13,19,9,30,13,13,0,-0.091846,-2.247638,87.751442,18.5,,,,,,,,,,,,,,,,
120,1000101021,3576,13,19,9,30,13,13,0,-0.108007,-1.822489,88.172676,18.6,,,,,,,,,,,,,,,,
121,1000101022,3585,13,19,9,30,13,13,0,-89.34082,-0.346069,0.55481,18.6,,,,,,,,,,,,,,,,
122,1000101023,3605,13,19,9,30,13,13,0,-88.81073,-1.187073,0.157654,18.700001,,,,,,,,,,,,,,,,
123,1000101024,3639,13,19,9,30,13,13,0,-88.833359,-0.863635,0.793213,19.9,,,,,,,,,,,,,,,,
124,1000101025,3604,13,19,9,30,13,13,0,-88.26461,-0.275845,1.719877,18.799999,,,,,,,,,,,,,,,,
125,1000101026,3595,13,19,9,30,13,13,0,-88.887543,-0.549152,0.96449,19,,,,,,,,,,,,,,,,
126,1000101018,3579,14,19,9,30,13,14,0,-0.153809,-2.304382,87.692871,18.200001,,,,,,,,,,,,,,,,
127,1000101019,3581,14,19,9,30,13,14,0,-0.074927,-2.357666,87.64035,19,,,,,,,,,,,,,,,,
128,1000101020,3594,14,19,9,30,13,14,0,-0.098877,-2.254779,87.745087,18.5,,,,,,,,,,,,,,,,
129,1000101021,3575,14,19,9,30,13,14,0,-0.106688,-1.821819,88.173546,18.6,,,,,,,,,,,,,,,,
130,1000101022,3584,14,19,9,30,13,14,0,-89.318848,-0.373535,0.576782,18.6,,,,,,,,,,,,,,,,
131,1000101023,3606,14,19,9,30,13,14,0,-88.815674,-1.190918,0.15271,18.700001,,,,,,,,,,,,,,,,
132,1000101024,3640,14,19,9,30,13,14,0,-88.83181,-0.857922,0.807825,19.9,,,,,,,,,,,,,,,,
133,1000101025,3602,14,19,9,30,13,14,0,-88.267387,-0.276823,1.715988,18.799999,,,,,,,,,,,,,,,,
134,1000101026,3594,14,19,9,30,13,14,0,-88.896576,-0.544977,0.968225,19.1,,,,,,,,,,,,,,,,
135,1000101018,3577,15,19,9,30,13,15,0,-0.155457,-2.301636,87.692871,18.200001,,,,,,,,,,,,,,,,
136,1000101019,3581,15,19,9,30,13,15,0,-0.058228,-2.359424,87.63916,19,,,,,,,,,,,,,,,,
137,1000101020,3592,15,19,9,30,13,15,0,-0.09679,-2.246265,87.749695,18.5,,,,,,,,,,,,,,,,
138,1000101021,3574,15,19,9,30,13,15,0,-0.105699,-1.82072,88.17366,18.6,,,,,,,,,,,,,,,,
139,1000101022,3584,15,19,9,30,13,15,0,-89.324341,-0.357056,0.560303,18.6,,,,,,,,,,,,,,,,
140,1000101023,3605,15,19,9,30,13,15,0,-88.817322,-1.18927,0.165894,18.700001,,,,,,,,,,,,,,,,
141,1000101024,3640,15,19,9,30,13,15,0,-88.828407,-0.85968,0.798267,19.799999,,,,,,,,,,,,,,,,
142,1000101025,3601,15,19,9,30,13,15,0,-88.260658,-0.276152,1.713988,18.799999,,,,,,,,,,,,,,,,
143,1000101026,3594,15,19,9,30,13,15,0,-88.891975,-0.542285,0.966962,19,,,,,,,,,,,,,,,,
144,1000101018,3577,16,19,9,30,13,16,0,-0.143372,-2.30658,87.690674,18.200001,,,,,,,,,,,,,,,,
145,1000101019,3580,16,19,9,30,13,16,0,-0.069983,-2.361621,87.636696,19,,,,,,,,,,,,,,,,
146,1000101020,3594,16,19,9,30,13,16,0,-0.101678,-2.251209,87.747238,18.5,,,,,,,,,,,,,,,,
147,1000101021,3571,16,19,9,30,13,16,0,-0.104996,-1.821259,88.175026,18.6,,,,,,,,,,,,,,,,
148,1000101022,3582,16,19,9,30,13,16,0,-89.362793,-0.351562,0.560303,18.6,,,,,,,,,,,,,,,,
149,1000101023,3604,16,19,9,30,13,16,0,-88.821167,-1.18103,0.169739,18.700001,,,,,,,,,,,,,,,,
150,1000101024,3639,16,19,9,30,13,16,0,-88.834686,-0.855835,0.789258,19.799999,,,,,,,,,,,,,,,,
151,1000101025,3601,16,19,9,30,13,16,0,-88.263382,-0.27635,1.713241,18.799999,,,,,,,,,,,,,,,,
152,1000101026,3594,16,19,9,30,13,16,0,-88.892426,-0.544922,0.968939,19,,,,,,,,,,,,,,,,
153,1000101018,3576,17,19,9,30,13,17,0,-0.147766,-2.309326,87.687378,18.1,,,,,,,,,,,,,,,,
154,1000101019,3580,17,19,9,30,13,17,0,-0.076245,-2.36239,87.640724,18.9,,,,,,,,,,,,,,,,
155,1000101020,3591,17,19,9,30,13,17,0,-0.104535,-2.251318,87.747009,18.5,,,,,,,,,,,,,,,,
156,1000101021,3571,17,19,9,30,13,17,0,-0.105315,-1.821984,88.174004,18.6,,,,,,,,,,,,,,,,
157,1000101022,3582,17,19,9,30,13,17,0,-89.34082,-0.357056,0.543823,18.5,,,,,,,,,,,,,,,,
158,1000101023,3604,17,19,9,30,13,17,0,-88.828308,-1.170593,0.169739,18.700001,,,,,,,,,,,,,,,,
159,1000101024,3639,17,19,9,30,13,17,0,-88.831024,-0.862097,0.791565,19.799999,,,,,,,,,,,,,,,,
160,1000101025,3600,17,19,9,30,13,17,0,-88.264839,-0.276976,1.712043,18.799999,,,,,,,,,,,,,,,,
161,1000101026,3594,17,19,9,30,13,17,0,-88.89341,-0.544098,0.96795,19,,,,,,,,,,,,,,,,
162,1000101018,3576,18,19,9,30,13,18,0,-0.140076,-2.304932,87.692871,18.200001,,,,,,,,,,,,,,,,
163,1000101019,3579,18,19,9,30,13,18,0,-0.065698,-2.359753,87.63929,18.9,,,,,,,,,,,,,,,,
164,1000101020,3591,18,19,9,30,13,18,0,-0.10036,-2.252966,87.743675,18.4,,,,,,,,,,,,,,,,
165,1000101021,3569,18,19,9,30,13,18,0,-0.107677,-1.821193,88.174843,18.5,,,,,,,,,,,,,,,,
166,1000101022,3582,18,19,9,30,13,18,0,-89.329834,-0.362549,0.576782,18.6,,,,,,,,,,,,,,,,
167,1000101023,3605,18,19,9,30,13,18,0,-88.815125,-1.182129,0.170288,18.700001,,,,,,,,,,,,,,,,
168,1000101024,3638,18,19,9,30,13,18,0,-88.832253,-0.861987,0.800354,19.799999,,,,,,,,,,,,,,,,
169,1000101025,3599,18,19,9,30,13,18,0,-88.265541,-0.275295,1.711132,18.799999,,,,,,,,,,,,,,,,
170,1000101026,3591,18,19,9,30,13,18,0,-88.891533,-0.544922,0.970532,19,,,,,,,,,,,,,,,,
171,1000101018,3576,19,19,9,30,13,19,0,-0.137878,-2.307129,87.686829,18.200001,,,,,,,,,,,,,,,,
172,1000101019,3579,19,19,9,30,13,19,0,-0.063721,-2.361841,87.638611,19,,,,,,,,,,,,,,,,
173,1000101020,3591,19,19,9,30,13,19,0,-0.095306,-2.248187,87.752861,18.5,,,,,,,,,,,,,,,,
174,1000101021,3569,19,19,9,30,13,19,0,-0.106271,-1.821885,88.174622,18.6,,,,,,,,,,,,,,,,
175,1000101022,3581,19,19,9,30,13,19,0,-89.34082,-0.346069,0.532837,18.5,,,,,,,,,,,,,,,,
176,1000101023,3604,19,19,9,30,13,19,0,-88.805786,-1.182678,0.162048,18.700001,,,,,,,,,,,,,,,,
177,1000101024,3638,19,19,9,30,13,19,0,-88.823906,-0.863416,0.792334,19.799999,,,,,,,,,,,,,,,,
178,1000101025,3599,19,19,9,30,13,19,0,-88.267075,-0.276515,1.711505,18.700001,,,,,,,,,,,,,,,,
179,1000101026,3591,19,19,9,30,13,19,0,-88.887077,-0.541736,0.968005,19,,,,,,,,,,,,,,,,
180,1000101018,3576,20,19,9,30,13,20,0,-0.142822,-2.307129,87.681885,18.1,,,,,,,,,,,,,,,,
181,1000101019,3579,20,19,9,30,13,20,0,-0.061523,-2.360523,87.641914,19,,,,,,,,,,,,,,,,
182,1000101020,3590,20,19,9,30,13,20,0,-0.105579,-2.248462,87.747498,18.5,,,,,,,,,,,,,,,,
183,1000101021,3566,20,19,9,30,13,20,0,-0.106611,-1.822104,88.173645,18.5,,,,,,,,,,,,,,,,
184,1000101022,3581,20,19,9,30,13,20,0,-89.329834,-0.357056,0.560303,18.5,,,,,,,,,,,,,,,,
185,1000101023,3602,20,19,9,30,13,20,0,-88.81897,-1.177734,0.166443,18.6,,,,,,,,,,,,,,,,
186,1000101024,3638,20,19,9,30,13,20,0,-88.829063,-0.854846,0.79563,19.799999,,,,,,,,,,,,,,,,
187,1000101025,3597,20,19,9,30,13,20,0,-88.267616,-0.27602,1.713406,18.700001,,,,,,,,,,,,,,,,
188,1000101026,3591,20,19,9,30,13,20,0,-88.891151,-0.54613,0.967621,19,,,,,,,,,,,,,,,,
189,1000101018,3575,21,19,9,30,13,21,0,-0.140076,-2.307129,87.692871,18.200001,,,,,,,,,,,,,,,,
190,1000101019,3579,21,19,9,30,13,21,0,-0.069104,-2.359973,87.64238,18.9,,,,,,,,,,,,,,,,
191,1000101020,3590,21,19,9,30,13,21,0,-0.097998,-2.246594,87.752487,18.5,,,,,,,,,,,,,,,,
192,1000101021,3566,21,19,9,30,13,21,0,-0.107161,-1.820248,88.174889,18.5,,,,,,,,,,,,,,,,
193,1000101022,3581,21,19,9,30,13,21,0,-89.335327,-0.357056,0.571289,18.5,,,,,,,,,,,,,,,,
194,1000101023,3605,21,19,9,30,13,21,0,-88.81073,-1.168945,0.159851,18.6,,,,,,,,,,,,,,,,
195,1000101024,3638,21,19,9,30,13,21,0,-88.829727,-0.860339,0.7875,19.799999,,,,,,,,,,,,,,,,
196,1000101025,3596,21,19,9,30,13,21,0,-88.266426,-0.275065,1.712966,18.799999,,,,,,,,,,,,,,,,
197,1000101026,3591,21,19,9,30,13,21,0,-88.89109,-0.539758,0.969159,18.9,,,,,,,,,,,,,,,,
198,1000101018,3575,22,19,9,30,13,22,0,-0.142822,-2.305481,87.690674,18.1,,,,,,,,,,,,,,,,
199,1000101019,3579,22,19,9,30,13,22,0,-0.068335,-2.359863,87.638145,18.9,,,,,,,,,,,,,,,,
200,1000101020,3589,22,19,9,30,13,22,0,-0.105469,-2.248297,87.746361,18.4,,,,,,,,,,,,,,,,
201,1000101021,3565,22,19,9,30,13,22,0,-0.109017,-1.821907,88.173149,18.5,,,,,,,,,,,,,,,,
202,1000101022,3581,22,19,9,30,13,22,0,-89.34082,-0.357056,0.549316,18.5,,,,,,,,,,,,,,,,
203,1000101023,3602,22,19,9,30,13,22,0,-88.810181,-1.184875,0.177429,18.6,,,,,,,,,,,,,,,,
204,1000101024,3637,22,19,9,30,13,22,0,-88.835449,-0.862317,0.800244,19.700001,,,,,,,,,,,,,,,,
205,1000101025,3596,22,19,9,30,13,22,0,-88.267303,-0.278273,1.712922,18.700001,,,,,,,,,,,,,,,,
