DateTime,UID,V,X,Y,Z,T
20/3/29 18:35:0,5,3474,18.908142,8.168486,-69.276337,14.8
20/3/29 18:40:0,5,3471,18.902119,8.16843,-69.282631,14.8
20/3/29 18:45:0,5,3474,18.724028,8.131315,-69.51516,15
20/3/29 18:50:0,5,3473,18.716616,8.228617,-69.427765,15
20/3/29 18:55:0,5,3471,18.722933,8.242344,-69.415993,14.8
20/3/29 19:0:0,5,3473,18.726971,8.247449,-69.410858,14.7
20/3/29 19:5:0,5,3471,18.726763,8.253853,-69.409348,14.6
20/3/29 16:40:0,6,3514,20.717211,64.607452,-14.018074,15.4
20/3/29 16:45:0,6,3509,20.730202,64.595123,-14.023927,15.7
20/3/29 16:50:0,6,3508,20.7169,64.602486,-14.027389,15.4
20/3/29 16:55:0,6,3501,20.712645,64.603706,-14.030783,15.2
20/3/29 17:0:0,6,3500,20.721613,64.600433,-14.023661,15.2
20/3/29 17:5:0,6,3500,20.717201,64.60421,-14.023839,15.2
20/3/29 17:10:0,6,3494,20.703543,64.604256,-14.044282,15.4
20/3/29 17:15:0,6,3495,20.706461,64.596947,-14.05328,15.4
20/3/29 17:20:0,6,3497,20.712658,64.58989,-14.053817,15.3
20/3/29 17:25:0,6,3492,20.716492,64.582062,-14.059254,15.2
20/3/29 17:30:0,6,3495,20.711624,64.591148,-14.053423,15.1
20/3/29 17:35:0,6,3492,20.714754,64.585144,-14.057849,15.2
20/3/29 17:40:0,6,3489,20.712246,64.590561,-14.053205,15
20/3/29 17:45:0,6,3492,20.719763,64.578835,-14.059473,15
20/3/29 17:50:0,6,3492,20.717663,64.584335,-14.054446,14.9
20/3/29 17:55:0,6,3491,20.709242,64.594589,-14.053131,14.8
20/3/29 18:0:0,6,3488,20.713104,64.587555,-14.056516,14.8
20/3/29 18:5:0,6,3491,20.709282,64.587112,-14.06411,14.7
20/3/29 18:10:0,6,3488,20.715134,64.58387,-14.058969,14.7
20/3/29 18:15:0,6,3491,20.711077,64.585724,-14.062843,14.7
20/3/29 18:20:0,6,3489,20.703068,64.590553,-14.067903,14.7
20/3/29 18:25:0,6,3488,20.705137,64.591133,-14.061232,14.7
20/3/29 18:30:0,6,3489,20.704445,64.587234,-14.070568,14.7
20/3/29 18:35:0,6,3489,20.7083,64.588974,-14.061229,14.6
20/3/29 18:40:0,6,3488,20.701284,64.587021,-14.07531,14.5
20/3/29 18:45:0,6,3489,20.766346,64.461662,-14.146517,14.7
20/3/29 18:50:0,6,3489,20.753637,64.459564,-14.209095,14.7
20/3/29 18:55:0,6,3488,20.761694,64.4562,-14.20503,14.7
20/3/29 19:0:0,6,3489,20.76404,64.449738,-14.211699,14.5
20/3/29 19:5:0,6,3489,20.761778,64.45491,-14.207803,14.5
20/3/27 19:35:0,7,3477,5.361043,-8.42957,-79.994873,16
20/3/27 19:40:0,7,3474,5.377593,-8.388852,-80.017609,15.9
20/3/27 19:45:0,7,3476,5.387406,-8.354415,-80.040909,15.9
20/3/27 19:50:0,7,3474,5.402761,-8.320506,-80.061707,15.9
20/3/27 19:55:0,7,3476,5.419422,-8.29628,-80.073647,15.9
20/3/27 20:0:0,7,3476,5.427296,-8.274079,-80.087036,15.9
20/3/27 20:5:0,7,3477,5.445628,-8.25133,-80.097931,15.5
20/3/27 20:10:0,7,3473,5.450117,-8.230229,-80.110565,15.9
20/3/27 20:15:0,7,3474,5.459991,-8.216156,-80.115852,15.8
20/3/27 20:20:0,7,3476,5.475622,-8.199786,-80.121712,15.8
20/3/27 20:25:0,7,3474,5.480474,-8.189902,-80.12719,15.8
20/3/27 20:30:0,7,3476,5.489646,-8.177976,-80.133476,15.7
20/3/27 20:35:0,7,3476,5.502426,-8.165835,-80.134941,15.7
20/3/27 20:40:0,7,3473,5.506982,-8.156984,-80.138802,15.6
20/3/27 20:45:0,7,3474,5.514606,-8.147178,-80.143387,15.5
20/3/27 20:50:0,7,3474,5.526181,-8.138833,-80.14579,15.6
20/3/27 20:55:0,7,3473,5.529705,-8.138055,-80.144279,15.5
20/3/27 21:0:0,7,3473,5.540057,-8.130029,-80.143341,15.4
20/3/27 21:5:0,7,3474,5.54675,-8.126636,-80.14431,15.4
20/3/27 21:10:0,7,3476,5.553137,-8.122826,-80.144211,15.4
20/3/27 21:15:0,7,3474,5.555863,-8.118664,-80.142715,15.4
20/3/27 21:20:0,7,3473,5.56212,-8.116943,-80.141907,15.3
20/3/27 21:25:0,7,3471,5.571141,-8.112227,-80.140755,15.4
20/3/27 21:30:0,7,3473,5.576815,-8.11163,-80.137878,15.3
20/3/27 21:35:0,7,3473,5.582275,-8.107924,-80.136543,15.3
20/3/27 21:40:0,7,3473,5.58899,-8.105586,-80.135887,15.3
20/3/27 21:45:0,7,3473,5.589278,-8.105417,-80.134674,15.3
20/3/27 21:50:0,7,3476,5.600571,-8.102323,-80.130341,15.2
20/3/27 21:55:0,7,3471,5.603348,-8.100958,-80.129379,15.2
20/3/27 22:0:0,7,3473,5.604313,-8.102034,-80.128624,15.2
20/3/27 22:5:0,7,3476,5.610261,-8.101254,-80.124985,15.2
20/3/27 22:10:0,7,3471,5.616749,-8.101192,-80.122993,15.2
20/3/27 22:15:0,7,3474,5.614769,-8.099486,-80.124405,15
20/3/27 22:20:0,7,3474,5.621665,-8.098512,-80.121086,15.1
