UID,VBAT,DID,Y,M,D,H,M,S,X,Y,Z,T,CHECKSUM
1000101019,4575,142,2019,11,13,12,40,47,0.110380,-0.738765,89.254814,18.600000,211
1000101019,4575,143,2019,11,13,12,40,49,0.109358,-0.738853,89.251068,18.600000,166
1000101019,4575,144,2019,11,13,12,40,51,0.108083,-0.734766,89.253586,18.600000,114
1000101019,4573,145,2019,11,13,12,40,54,0.104095,-0.735831,89.253075,18.600000,31
1000101019,4573,146,2019,11,13,12,40,56,0.105172,-0.737271,89.255936,18.600000,244
1000101019,4573,147,2019,11,13,12,40,59,0.108105,-0.737688,89.254318,18.600000,102
1000101019,4573,148,2019,11,13,12,41,1,0.105205,-0.740281,89.252823,18.600000,239
1000101019,4573,149,2019,11,13,12,41,3,0.108160,-0.737787,89.252899,18.600000,35
1000101019,4573,150,2019,11,13,12,41,6,0.107952,-0.737798,89.255486,18.600000,4
1000101019,4572,151,2019,11,13,12,41,8,0.107106,-0.736238,89.254906,18.600000,45
1000101019,4572,152,2019,11,13,12,41,11,0.106512,-0.738127,89.256371,18.600000,225
1000101019,4573,153,2019,11,13,12,41,13,0.106809,-0.737765,89.254082,18.600000,74
1000101019,4572,154,2019,11,13,12,41,15,0.105370,-0.737699,89.253365,18.600000,240
1000101019,4573,155,2019,11,13,12,41,18,0.109039,-0.737611,89.254028,18.600000,52
1000101019,4572,156,2019,11,13,12,41,20,0.108973,-0.738029,89.253342,18.600000,195
1000101019,4573,157,2019,11,13,12,41,22,0.107908,-0.739171,89.253922,18.600000,152
1000101019,4573,158,2019,11,13,12,41,25,0.104667,-0.739248,89.255074,18.600000,150
1000101019,4573,159,2019,11,13,12,41,27,0.108798,-0.736974,89.254189,18.600000,252
1000101019,4573,160,2019,11,13,12,41,30,0.106479,-0.736205,89.254601,18.600000,187
1000101019,4567,161,2019,11,13,12,41,32,0.107930,-0.737886,89.252731,18.600000,20
1000101019,4573,162,2019,11,13,12,41,34,0.110632,-0.737941,89.253136,18.600000,255
1000101019,4572,163,2019,11,13,12,41,37,0.105524,-0.738369,89.254868,18.600000,213
1000101019,4573,164,2019,11,13,12,41,39,0.102513,-0.736941,89.252167,18.600000,83
1000101019,4572,165,2019,11,13,12,41,42,0.105667,-0.737765,89.254402,18.600000,203
1000101019,4570,166,2019,11,13,12,41,44,0.111313,-0.738051,89.254044,18.600000,37
1000101019,4572,167,2019,11,13,12,41,46,0.106864,-0.735447,89.255180,18.600000,50
1000101019,4572,168,2019,11,13,12,41,49,0.108589,-0.736216,89.253731,18.600000,38
1000101019,4573,169,2019,11,13,12,41,51,0.106974,-0.736809,89.255966,18.600000,188
1000101019,4572,170,2019,11,13,12,41,54,0.109303,-0.735908,89.253151,18.600000,198
